found_location,n
9807 Hansford Drive in Austin (TX),14
Manchaca And Slaughter in Austin (TX),13
1601 Montopolis Dr in Austin (TX),13
5106 Village Square in Austin (TX),13
401 Little Texas Lane in Austin (TX),13
3811 E 12Th St in Austin (TX),13
7601 Dixie Dr in Austin (TX),13
2201 Barton Springs Rd in Austin (TX),13
6200 Loyola Ln in Austin (TX),13
2100 Barton Springs Road in Austin (TX),13
4106 N. Lamar in Austin (TX),13
12001 Metric Blvd in Austin (TX),13
4407 Norwood in Austin (TX),13
7610 Cameron Rd in Austin (TX),13
715 E 8Th St in Austin (TX),13
1500 Faro Dr in Austin (TX),13
2200 Willow Creek Dr in Austin (TX),13
8515 S Ih 35 in Austin (TX),13
5400 Freidrich Ln in Austin (TX),13
2801 Wells Branch Pkwy in Austin (TX),13
7607 Blessing Ave in Austin (TX),13
2100 Barton Springs in Austin (TX),13
7132 Texas 71 in Austin (TX),13
2406 Rosewood Ave in Austin (TX),13
9604 Bock Rd in Travis (TX),13
2110 Thrasher Ln in Austin (TX),13
2201 Montopolis in Austin (TX),13
1628 Ohlen Rd in Austin (TX),13
Clearfield in Austin (TX),13
9802 Roxanna Drive in Austin (TX),13
5000 Spruce Circle in Austin (TX),13
4605 Button Bend in Austin (TX),13
12304 Elm Valley Dr in Travis (TX),13
1701 Congress Ave in Austin (TX),13
8303 Hornet Dr in Austin (TX),13
1817 East Oltorf in Austin (TX),13
212 Hokanson Road in Del Valle (TX),13
6503 Bluff Springs in Austin (TX),12
North Ec in Austin (TX),12
7209 Barnsdale Way in Austin (TX),12
Montopolis in Austin (TX),12
Riverside And Montopolis in Austin (TX),12
14000 Renaissance Ct in Austin (TX),12
1300 Crossing Place in Austin (TX),12
7903 Taza Trl in Austin (TX),12
124 West Anderson in Austin (TX),12
Riverside And Wickersham in Austin (TX),12
8524 Burnet Rd in Austin (TX),12
43 Rainey St in Austin (TX),12
2501 Wickersham Ln in Austin (TX),12
2005 Willow Creek Dr in Austin (TX),12
810 E Slaughter Ln in Austin (TX),12
5808 Mckinney Falls Pkwy in Austin (TX),12
2901 S Capital Of Texas Hwy in Austin (TX),12
9515 Hotel Dr in Austin (TX),12
4701 Staggerbrush Rd in Austin (TX),12
2317 S Pleasant Valley in Austin (TX),12
10505 S Ih 35 in Austin (TX),12
409 E William Cannon Dr in Austin (TX),12
701 Woodward in Austin (TX),12
7309 Lazy Creek Dr in Austin (TX),12
824 Fairfield Dr in Austin (TX),12
1101 Wheatley Ave in Austin (TX),12
9102 Shepard Dr in Austin (TX),12
1044 Camino La Costa in Austin (TX),12
2308 Perry Ave #106 in Austin (TX),12
8718 Fm 812 in Travis (TX),12
2109 Jesse Owens Dr in Austin (TX),12
6700 Evelyn Rd in Austin (TX),12
6813 Sabrina Dr in Austin (TX),12
5201 Berkman Dr in Austin (TX),12
3505 South Lamar in Austin (TX),12
Bluff Springs And William Cannon in Austin (TX),12
1128 Gardner in Austin (TX),12
1206 Woodfield Dr in Austin (TX),12
