found_location,n,lat,lon,status
8207 Canoga Ave in Austin (TX),18,30.284123,-97.634631,ok
1016 Camino La Costa in Austin (TX),18,30.326446,-97.7014153,ok
501 S Hwy 183 in Austin (TX),18,30.2179526,-97.6834263,ok
Born In Shelter in Austin (TX),18,,,no_result
21306 Dodge Trl in Lago Vista (TX),18,30.4765505,-97.9855305,ok
Slaughter And Manchaca in Austin (TX),17,,,no_result
401 Little Texas Ln in Austin (TX),17,30.200678,-97.7724825,ok
2317 S Pleasant Valley Rd in Austin (TX),17,30.229359,-97.726213,ok
9201 Circuit Of The Americas Blvd in Austin (TX),17,30.135635,-97.644044,ok
9300 Northgate Blvd in Austin (TX),17,30.372392,-97.715607,ok
3600 Presidential Blvd in Austin (TX),17,30.202769,-97.665704,ok
3308 Thompson St in Austin (TX),17,30.266989,-97.699751,ok
9024 Northgate Blvd in Austin (TX),17,30.3702255,-97.7171306,ok
5200 Knight in Austin (TX),17,30.306018,-97.6989594,ok
6403 Johnny Morris Rd in Austin (TX),17,30.2969084,-97.6488779,ok
1401 E Rundberg Ln in Austin (TX),16,30.351666,-97.6783505,ok
1088 Park Plaza in Austin (TX),16,30.3483473,-97.6867522,ok
508 E Howard Ln in Austin (TX),16,30.414562,-97.653183,ok
907 W Slaughter Ln in Austin (TX),16,30.1677187,-97.8071525,ok
1700 Teri Rd in Austin (TX),16,30.205244,-97.755658,ok
15436 Fm 1825 in Travis (TX),16,30.4484655,-97.6619751,ok
2336 Douglas St in Austin (TX),16,30.228281,-97.7330302,ok
9201 Circuit Of The Americas Blvd in Travis (TX),16,30.135635,-97.644044,ok
11400 Concordia University Dr. in Austin (TX),16,30.4178669,-97.8402363,ok
201 San Jacinto Blvd in Austin (TX),16,30.263827,-97.741516,ok
1420 E Anderson Ln in Austin (TX),16,30.333444,-97.686523,ok
9816 Bundoran in Austin (TX),16,30.5024015,-97.7618892,ok
1600 Wickersham Ln in Austin (TX),15,30.235978,-97.718586,ok
1801 Wells Branch Pkwy in Austin (TX),15,30.4378428,-97.6582081,ok
1515 Wickersham in Austin (TX),15,30.2350044,-97.71831,ok
1840 Burton Dr in Austin (TX),15,30.2354625,-97.7296133,ok
12609 Dessau Rd in Austin (TX),15,30.3950923,-97.6438278,ok
7201 Levander in Austin (TX),15,30.2514776,-97.6894899,ok
E Stassney Ln & Nuckols Crossing Rd in Austin (TX),15,,,no_result
9323 Manchaca Rd in Austin (TX),15,30.1685841,-97.8306185,ok
1430 Frontier Valley in Austin (TX),15,30.226452,-97.6939006,ok
7501 Wynne Ln in Austin (TX),15,30.19257,-97.802828,ok
8509 Fm 969 in Austin (TX),15,30.2772393,-97.6381755,ok
13808 Maha Rd in Austin (TX),15,,,no_result
5600 Decker Creek Cv in Manor (TX),15,,,no_result
4008 E 12Th St in Austin (TX),15,30.2786965,-97.6904578,ok
1000 Ellingson Ln in Austin (TX),15,30.3036635,-97.7190608,ok
4200 Clawson Road in Austin (TX),15,30.2299665,-97.7836106,ok
6506 High Point Cove in Austin (TX),15,,,no_result
3209 S Ih 35 in Austin (TX),14,,,no_result
701 Woodward St in Austin (TX),14,30.225402,-97.752067,ok
7902 Dee Gabriel Collins in Austin (TX),14,30.175229,-97.702525,ok
124 W Anderson Lane in Austin (TX),14,30.344704,-97.705244,ok
1020 Grove Blvd in Austin (TX),14,30.2368341,-97.7083575,ok
